Accuracy,Recall,Precision,F1-Score,Label
0.61,0.635593220338983,0.713720742534302,0.6177158999192897,10
0.71,0.7111111111111111,0.7697222222222222,0.6351190476190476,20
0.75,0.7744252873563218,0.7968390804597701,0.7116174055829229,30
0.79,0.7901785714285714,0.8808248299319728,0.7591836734693878,40
0.83,0.817528735632184,0.8709770114942529,0.7396141215106732,50
0.7232232232232232,0.7503337797691925,0.7101876932982518,0.6536997304893613,60
0.7402402402402403,0.7455623807480003,0.7695026567548788,0.7176474913474494,70
0.7397397397397397,0.7504069351871511,0.7528851370993673,0.6851055761944875,80
0.7627627627627628,0.7671256660621485,0.7884463939663421,0.7289076078592379,90
0.7662662662662663,0.7797893968230116,0.7465638467402073,0.7079976890176468,100
0.7692692692692693,0.774321713311665,0.7682271959694021,0.7265925618612888,110
0.7582582582582582,0.772087059375911,0.7500274961293325,0.7016967200005308,120
0.7687687687687688,0.7904199591980584,0.728485229934332,0.6824014820710312,130
0.7682682682682682,0.7817403547479468,0.7706008628129495,0.7065975061457502,140
0.7717717717717718,0.7926880682296192,0.7358448115549693,0.6868849805095337,150
